,sector,Year,FDI(million $)
100,FOOD PROCESSING INDUSTRIES,2001,219.39
101,VEGETABLE OILS AND VANASPATI,2001,0.0
102,"SOAPS, COSMETICS & TOILET PREPARATIONS",2001,0.0
103,RUBBER GOODS,2001,46.39
104,"LEATHER,LEATHER GOODS AND PICKERS",2001,0.2
105,GLUE AND GELATIN,2001,0.94
106,GLASS,2001,8.37
107,CERAMICS,2001,0.78
108,CEMENT AND GYPSUM PRODUCTS,2001,139.9
109,TIMBER PRODUCTS,2001,0.05
110,DEFENCE INDUSTRIES,2001,0.0
111,CONSULTANCY SERVICES,2001,66.22
112,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2001,187.95
113,HOSPITAL & DIAGNOSTIC CENTRES,2001,6.93
114,EDUCATION,2001,0.0
115,HOTEL & TOURISM,2001,32.12
116,TRADING,2001,43.27
117,RETAIL TRADING,2001,0.0
118,AGRICULTURE SERVICES,2001,14.06
119,"DIAMOND,GOLD ORNAMENTS",2001,0.36
120,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2001,0.14
121,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2001,0.0
122,COIR,2001,0.0
123,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2001,0.0
124,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2001,51.75
125,MISCELLANEOUS INDUSTRIES,2001,221.37
126,METALLURGICAL INDUSTRIES,2002,36.61
127,MINING,2002,10.06
128,POWER,2002,59.11
129,NON-CONVENTIONAL ENERGY,2002,1.7
130,COAL PRODUCTION,2002,0.0
131,PETROLEUM & NATURAL GAS,2002,56.78
132,BOILERS AND STEAM GENERATING PLANTS,2002,0.0
133,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2002,0.0
134,ELECTRICAL EQUIPMENTS,2002,34.71
135,COMPUTER SOFTWARE & HARDWARE,2002,314.24
136,ELECTRONICS,2002,295.88
137,TELECOMMUNICATIONS,2002,191.6
138,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2002,36.5
139,AUTOMOBILE INDUSTRY,2002,419.96
140,AIR TRANSPORT (INCLUDING AIR FREIGHT),2002,3.8
141,SEA TRANSPORT,2002,29.32
142,PORTS,2002,2.03
143,RAILWAY RELATED COMPONENTS,2002,0.56
144,INDUSTRIAL MACHINERY,2002,19.4
145,MACHINE TOOLS,2002,14.17
146,AGRICULTURAL MACHINERY,2002,13.48
147,EARTH-MOVING MACHINERY,2002,13.77
148,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2002,45.07
149,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2002,2.33
150,MEDICAL AND SURGICAL APPLIANCES,2002,21.63
151,INDUSTRIAL INSTRUMENTS,2002,1.31
152,SCIENTIFIC INSTRUMENTS,2002,0.19
153,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2002,0.0
154,FERTILIZERS,2002,16.38
155,CHEMICALS (OTHER THAN FERTILIZERS),2002,128.12
156,PHOTOGRAPHIC RAW FILM AND PAPER,2002,0.6
157,DYE-STUFFS,2002,0.0
158,DRUGS & PHARMACEUTICALS,2002,40.07
159,"TEXTILES (INCLUDING DYED,PRINTED)",2002,54.18
160,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2002,7.36
161,SUGAR,2002,3.97
162,FERMENTATION INDUSTRIES,2002,8.07
163,FOOD PROCESSING INDUSTRIES,2002,36.88
164,VEGETABLE OILS AND VANASPATI,2002,0.0
165,"SOAPS, COSMETICS & TOILET PREPARATIONS",2002,0.0
166,RUBBER GOODS,2002,16.42
167,"LEATHER,LEATHER GOODS AND PICKERS",2002,0.01
168,GLUE AND GELATIN,2002,5.22
169,GLASS,2002,44.98
170,CERAMICS,2002,0.21
171,CEMENT AND GYPSUM PRODUCTS,2002,21.08
172,TIMBER PRODUCTS,2002,0.04
173,DEFENCE INDUSTRIES,2002,0.0
174,CONSULTANCY SERVICES,2002,25.7
175,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2002,296.34
176,HOSPITAL & DIAGNOSTIC CENTRES,2002,29.13
177,EDUCATION,2002,0.0
178,HOTEL & TOURISM,2002,33.75
179,TRADING,2002,38.13
180,RETAIL TRADING,2002,0.0
181,AGRICULTURE SERVICES,2002,11.01
182,"DIAMOND,GOLD ORNAMENTS",2002,1.3
183,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2002,0.0
184,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2002,6.3
185,COIR,2002,0.0
186,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2002,0.0
187,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2002,36.1
188,MISCELLANEOUS INDUSTRIES,2002,218.76
189,METALLURGICAL INDUSTRIES,2003,8.11
190,MINING,2003,23.48
191,POWER,2003,27.09
192,NON-CONVENTIONAL ENERGY,2003,4.14
193,COAL PRODUCTION,2003,0.04
194,PETROLEUM & NATURAL GAS,2003,80.64
195,BOILERS AND STEAM GENERATING PLANTS,2003,0.04
196,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2003,0.0
197,ELECTRICAL EQUIPMENTS,2003,73.2
198,COMPUTER SOFTWARE & HARDWARE,2003,368.32
199,ELECTRONICS,2003,82.31
200,TELECOMMUNICATIONS,2003,86.49
201,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2003,13.72
202,AUTOMOBILE INDUSTRY,2003,119.09
203,AIR TRANSPORT (INCLUDING AIR FREIGHT),2003,0.94
204,SEA TRANSPORT,2003,21.95
205,PORTS,2003,116.36
206,RAILWAY RELATED COMPONENTS,2003,2.95
207,INDUSTRIAL MACHINERY,2003,3.18
208,MACHINE TOOLS,2003,54.51
209,AGRICULTURAL MACHINERY,2003,47.54
210,EARTH-MOVING MACHINERY,2003,0.01
211,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2003,22.73
212,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2003,10.41
213,MEDICAL AND SURGICAL APPLIANCES,2003,1.97
214,INDUSTRIAL INSTRUMENTS,2003,0.3
215,SCIENTIFIC INSTRUMENTS,2003,0.02
216,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2003,0.0
217,FERTILIZERS,2003,21.58
218,CHEMICALS (OTHER THAN FERTILIZERS),2003,20.24
219,PHOTOGRAPHIC RAW FILM AND PAPER,2003,0.24
220,DYE-STUFFS,2003,0.43
221,DRUGS & PHARMACEUTICALS,2003,108.91
222,"TEXTILES (INCLUDING DYED,PRINTED)",2003,9.34
223,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2003,7.15
224,SUGAR,2003,0.0
225,FERMENTATION INDUSTRIES,2003,1.7
226,FOOD PROCESSING INDUSTRIES,2003,109.22
227,VEGETABLE OILS AND VANASPATI,2003,1.69
228,"SOAPS, COSMETICS & TOILET PREPARATIONS",2003,0.0
229,RUBBER GOODS,2003,6.37
230,"LEATHER,LEATHER GOODS AND PICKERS",2003,7.55
231,GLUE AND GELATIN,2003,0.0
232,GLASS,2003,5.24
233,CERAMICS,2003,1.47
234,CEMENT AND GYPSUM PRODUCTS,2003,9.58
235,TIMBER PRODUCTS,2003,0.11
236,DEFENCE INDUSTRIES,2003,0.0
237,CONSULTANCY SERVICES,2003,46.2
238,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2003,271.15
239,HOSPITAL & DIAGNOSTIC CENTRES,2003,24.08
240,EDUCATION,2003,0.19
241,HOTEL & TOURISM,2003,49.36
242,TRADING,2003,31.12
243,RETAIL TRADING,2003,0.0
244,AGRICULTURE SERVICES,2003,0.59
245,"DIAMOND,GOLD ORNAMENTS",2003,1.96
246,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2003,0.32
247,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2003,0.0
248,COIR,2003,0.0
249,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2003,0.0
250,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2003,47.04
251,MISCELLANEOUS INDUSTRIES,2003,235.48
252,METALLURGICAL INDUSTRIES,2004,200.38
253,MINING,2004,9.92
254,POWER,2004,43.37
255,NON-CONVENTIONAL ENERGY,2004,1.27
256,COAL PRODUCTION,2004,0.0
257,PETROLEUM & NATURAL GAS,2004,102.78
258,BOILERS AND STEAM GENERATING PLANTS,2004,0.54
259,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2004,2.66
260,ELECTRICAL EQUIPMENTS,2004,97.4
261,COMPUTER SOFTWARE & HARDWARE,2004,527.9
262,ELECTRONICS,2004,88.1
263,TELECOMMUNICATIONS,2004,118.33
