,sector,Year,FDI(million $)
499,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2007,35.54
500,COIR,2007,0.01
501,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2007,182.92
502,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2007,3887.33
503,MISCELLANEOUS INDUSTRIES,2007,528.42
504,METALLURGICAL INDUSTRIES,2008,959.94
505,MINING,2008,34.16
506,POWER,2008,907.66
507,NON-CONVENTIONAL ENERGY,2008,125.88
508,COAL PRODUCTION,2008,0.22
509,PETROLEUM & NATURAL GAS,2008,349.29
510,BOILERS AND STEAM GENERATING PLANTS,2008,0.0
511,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2008,74.88
512,ELECTRICAL EQUIPMENTS,2008,417.35
513,COMPUTER SOFTWARE & HARDWARE,2008,1543.34
514,ELECTRONICS,2008,147.51
515,TELECOMMUNICATIONS,2008,2548.63
516,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2008,735.04
517,AUTOMOBILE INDUSTRY,2008,1150.03
518,AIR TRANSPORT (INCLUDING AIR FREIGHT),2008,61.37
519,SEA TRANSPORT,2008,50.21
520,PORTS,2008,493.15
521,RAILWAY RELATED COMPONENTS,2008,18.01
522,INDUSTRIAL MACHINERY,2008,110.54
523,MACHINE TOOLS,2008,45.66
524,AGRICULTURAL MACHINERY,2008,5.57
525,EARTH-MOVING MACHINERY,2008,2.27
526,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2008,142.31
527,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2008,12.63
528,MEDICAL AND SURGICAL APPLIANCES,2008,75.42
529,INDUSTRIAL INSTRUMENTS,2008,17.48
530,SCIENTIFIC INSTRUMENTS,2008,0.83
531,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2008,0.0
532,FERTILIZERS,2008,133.75
533,CHEMICALS (OTHER THAN FERTILIZERS),2008,651.22
534,PHOTOGRAPHIC RAW FILM AND PAPER,2008,1.05
535,DYE-STUFFS,2008,1.17
536,DRUGS & PHARMACEUTICALS,2008,4246.76
537,"TEXTILES (INCLUDING DYED,PRINTED)",2008,157.52
538,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2008,272.51
539,SUGAR,2008,5.01
540,FERMENTATION INDUSTRIES,2008,144.7
541,FOOD PROCESSING INDUSTRIES,2008,102.71
542,VEGETABLE OILS AND VANASPATI,2008,42.88
543,"SOAPS, COSMETICS & TOILET PREPARATIONS",2008,22.03
544,RUBBER GOODS,2008,84.88
545,"LEATHER,LEATHER GOODS AND PICKERS",2008,3.32
546,GLUE AND GELATIN,2008,0.0
547,GLASS,2008,23.16
548,CERAMICS,2008,198.43
549,CEMENT AND GYPSUM PRODUCTS,2008,724.8
550,TIMBER PRODUCTS,2008,11.27
551,DEFENCE INDUSTRIES,2008,0.0
552,CONSULTANCY SERVICES,2008,256.59
553,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2008,6183.49
554,HOSPITAL & DIAGNOSTIC CENTRES,2008,239.71
555,EDUCATION,2008,214.52
556,HOTEL & TOURISM,2008,463.92
557,TRADING,2008,643.64
558,RETAIL TRADING,2008,0.09
559,AGRICULTURE SERVICES,2008,5.35
560,"DIAMOND,GOLD ORNAMENTS",2008,83.5
561,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2008,37.08
562,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2008,31.61
563,COIR,2008,0.0
564,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2008,172.7
565,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2008,4657.51
566,MISCELLANEOUS INDUSTRIES,2008,1549.7
567,METALLURGICAL INDUSTRIES,2009,419.88
568,MINING,2009,174.4
569,POWER,2009,1271.79
570,NON-CONVENTIONAL ENERGY,2009,622.52
571,COAL PRODUCTION,2009,0.0
572,PETROLEUM & NATURAL GAS,2009,265.53
573,BOILERS AND STEAM GENERATING PLANTS,2009,3.96
574,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2009,39.5
575,ELECTRICAL EQUIPMENTS,2009,728.27
576,COMPUTER SOFTWARE & HARDWARE,2009,871.86
577,ELECTRONICS,2009,52.14
578,TELECOMMUNICATIONS,2009,2539.26
579,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2009,490.83
580,AUTOMOBILE INDUSTRY,2009,1236.29
581,AIR TRANSPORT (INCLUDING AIR FREIGHT),2009,23.71
582,SEA TRANSPORT,2009,284.85
583,PORTS,2009,65.41
584,RAILWAY RELATED COMPONENTS,2009,34.43
585,INDUSTRIAL MACHINERY,2009,341.88
586,MACHINE TOOLS,2009,133.83
587,AGRICULTURAL MACHINERY,2009,1.88
588,EARTH-MOVING MACHINERY,2009,15.62
589,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2009,149.59
590,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2009,78.98
591,MEDICAL AND SURGICAL APPLIANCES,2009,167.35
592,INDUSTRIAL INSTRUMENTS,2009,7.61
593,SCIENTIFIC INSTRUMENTS,2009,0.0
594,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2009,0.0
595,FERTILIZERS,2009,8.2
596,CHEMICALS (OTHER THAN FERTILIZERS),2009,365.94
597,PHOTOGRAPHIC RAW FILM AND PAPER,2009,0.0
598,DYE-STUFFS,2009,4.02
599,DRUGS & PHARMACEUTICALS,2009,213.08
600,"TEXTILES (INCLUDING DYED,PRINTED)",2009,150.27
601,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2009,16.42
602,SUGAR,2009,0.1
603,FERMENTATION INDUSTRIES,2009,112.02
604,FOOD PROCESSING INDUSTRIES,2009,278.89
605,VEGETABLE OILS AND VANASPATI,2009,69.74
606,"SOAPS, COSMETICS & TOILET PREPARATIONS",2009,24.58
607,RUBBER GOODS,2009,24.12
608,"LEATHER,LEATHER GOODS AND PICKERS",2009,5.06
609,GLUE AND GELATIN,2009,0.27
610,GLASS,2009,2.83
611,CERAMICS,2009,7.21
612,CEMENT AND GYPSUM PRODUCTS,2009,33.8
613,TIMBER PRODUCTS,2009,6.54
614,DEFENCE INDUSTRIES,2009,0.0
615,CONSULTANCY SERVICES,2009,341.31
616,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2009,4174.53
617,HOSPITAL & DIAGNOSTIC CENTRES,2009,135.57
618,EDUCATION,2009,63.35
619,HOTEL & TOURISM,2009,753.02
620,TRADING,2009,737.95
621,RETAIL TRADING,2009,13.73
622,AGRICULTURE SERVICES,2009,1222.22
623,"DIAMOND,GOLD ORNAMENTS",2009,31.08
624,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2009,8.15
625,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2009,70.51
626,COIR,2009,0.25
627,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2009,324.56
628,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2009,5466.13
629,MISCELLANEOUS INDUSTRIES,2009,1147.56
630,METALLURGICAL INDUSTRIES,2010,1098.14
631,MINING,2010,79.51
632,POWER,2010,1271.77
633,NON-CONVENTIONAL ENERGY,2010,214.4
634,COAL PRODUCTION,2010,0.0
635,PETROLEUM & NATURAL GAS,2010,556.43
636,BOILERS AND STEAM GENERATING PLANTS,2010,0.63
637,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2010,166.44
638,ELECTRICAL EQUIPMENTS,2010,153.9
639,COMPUTER SOFTWARE & HARDWARE,2010,779.81
640,ELECTRONICS,2010,59.72
641,TELECOMMUNICATIONS,2010,1664.5
642,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2010,412.11
643,AUTOMOBILE INDUSTRY,2010,1299.41
644,AIR TRANSPORT (INCLUDING AIR FREIGHT),2010,136.6
645,SEA TRANSPORT,2010,300.51
646,PORTS,2010,10.92
647,RAILWAY RELATED COMPONENTS,2010,70.66
648,INDUSTRIAL MACHINERY,2010,467.92
649,MACHINE TOOLS,2010,11.63
650,AGRICULTURAL MACHINERY,2010,0.49
651,EARTH-MOVING MACHINERY,2010,1.77
652,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2010,108.67
653,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2010,25.12
654,MEDICAL AND SURGICAL APPLIANCES,2010,32.22
655,INDUSTRIAL INSTRUMENTS,2010,25.48
656,SCIENTIFIC INSTRUMENTS,2010,2.49
657,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2010,0.0
658,FERTILIZERS,2010,18.18
659,CHEMICALS (OTHER THAN FERTILIZERS),2010,2354.4
660,PHOTOGRAPHIC RAW FILM AND PAPER,2010,0.81
661,DYE-STUFFS,2010,5.37
662,DRUGS & PHARMACEUTICALS,2010,209.38
663,"TEXTILES (INCLUDING DYED,PRINTED)",2010,129.65
664,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2010,6.53
665,SUGAR,2010,0.17
666,FERMENTATION INDUSTRIES,2010,57.71
667,FOOD PROCESSING INDUSTRIES,2010,188.67
668,VEGETABLE OILS AND VANASPATI,2010,58.07
669,"SOAPS, COSMETICS & TOILET PREPARATIONS",2010,102.9
670,RUBBER GOODS,2010,17.21
671,"LEATHER,LEATHER GOODS AND PICKERS",2010,9.26
672,GLUE AND GELATIN,2010,0.01
673,GLASS,2010,7.6
674,CERAMICS,2010,12.0
675,CEMENT AND GYPSUM PRODUCTS,2010,637.68
676,TIMBER PRODUCTS,2010,1.58
677,DEFENCE INDUSTRIES,2010,0.0
678,CONSULTANCY SERVICES,2010,274.84
679,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2010,3296.09
680,HOSPITAL & DIAGNOSTIC CENTRES,2010,256.0
681,EDUCATION,2010,37.94
682,HOTEL & TOURISM,2010,308.05
683,TRADING,2010,498.04
684,RETAIL TRADING,2010,26.27
685,AGRICULTURE SERVICES,2010,43.9
686,"DIAMOND,GOLD ORNAMENTS",2010,19.59
687,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2010,3.12
688,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2010,36.63
689,COIR,2010,0.1
690,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2010,675.07
691,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2010,1663.03
692,MISCELLANEOUS INDUSTRIES,2010,1475.97
693,METALLURGICAL INDUSTRIES,2011,1786.14
694,MINING,2011,142.65
695,POWER,2011,1652.38
696,NON-CONVENTIONAL ENERGY,2011,452.17
697,COAL PRODUCTION,2011,0.0
698,PETROLEUM & NATURAL GAS,2011,2029.98
699,BOILERS AND STEAM GENERATING PLANTS,2011,31.79
700,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2011,313.75
701,ELECTRICAL EQUIPMENTS,2011,566.39
702,COMPUTER SOFTWARE & HARDWARE,2011,796.35
703,ELECTRONICS,2011,194.41
704,TELECOMMUNICATIONS,2011,1997.24
705,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2011,675.96
706,AUTOMOBILE INDUSTRY,2011,922.99
707,AIR TRANSPORT (INCLUDING AIR FREIGHT),2011,31.22
708,SEA TRANSPORT,2011,129.36
709,PORTS,2011,0.0
710,RAILWAY RELATED COMPONENTS,2011,42.27
711,INDUSTRIAL MACHINERY,2011,620.66
712,MACHINE TOOLS,2011,127.87
713,AGRICULTURAL MACHINERY,2011,2.77
714,EARTH-MOVING MACHINERY,2011,16.4
715,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2011,1295.34
716,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2011,29.04
717,MEDICAL AND SURGICAL APPLIANCES,2011,141.61
718,INDUSTRIAL INSTRUMENTS,2011,3.99
719,SCIENTIFIC INSTRUMENTS,2011,7.08
720,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2011,0.0
721,FERTILIZERS,2011,32.6
722,CHEMICALS (OTHER THAN FERTILIZERS),2011,4040.71
723,PHOTOGRAPHIC RAW FILM AND PAPER,2011,0.0
724,DYE-STUFFS,2011,0.58
725,DRUGS & PHARMACEUTICALS,2011,3232.28
726,"TEXTILES (INCLUDING DYED,PRINTED)",2011,164.19
727,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2011,407.35
728,SUGAR,2011,4.44
729,FERMENTATION INDUSTRIES,2011,69.7
730,FOOD PROCESSING INDUSTRIES,2011,170.21
731,VEGETABLE OILS AND VANASPATI,2011,65.02
732,"SOAPS, COSMETICS & TOILET PREPARATIONS",2011,222.08
733,RUBBER GOODS,2011,187.37
734,"LEATHER,LEATHER GOODS AND PICKERS",2011,8.3
735,GLUE AND GELATIN,2011,5.84
736,GLASS,2011,32.22
737,CERAMICS,2011,9.87
738,CEMENT AND GYPSUM PRODUCTS,2011,267.9
739,TIMBER PRODUCTS,2011,29.6
740,DEFENCE INDUSTRIES,2011,3.66
741,CONSULTANCY SERVICES,2011,289.89
742,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2011,5215.98
743,HOSPITAL & DIAGNOSTIC CENTRES,2011,310.43
744,EDUCATION,2011,105.62
745,HOTEL & TOURISM,2011,992.86
746,TRADING,2011,731.55
747,RETAIL TRADING,2011,31.7
748,AGRICULTURE SERVICES,2011,49.02
749,"DIAMOND,GOLD ORNAMENTS",2011,36.3
750,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2011,5.32
751,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2011,47.39
752,COIR,2011,0.55
753,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2011,386.28
754,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2011,3140.78
755,MISCELLANEOUS INDUSTRIES,2011,813.38
756,METALLURGICAL INDUSTRIES,2012,1466.23
757,MINING,2012,57.89
758,POWER,2012,535.68
759,NON-CONVENTIONAL ENERGY,2012,1106.52
760,COAL PRODUCTION,2012,0.0
761,PETROLEUM & NATURAL GAS,2012,214.8
762,BOILERS AND STEAM GENERATING PLANTS,2012,20.05
763,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2012,184.6
764,ELECTRICAL EQUIPMENTS,2012,195.87
765,COMPUTER SOFTWARE & HARDWARE,2012,485.96
766,ELECTRONICS,2012,38.24
767,TELECOMMUNICATIONS,2012,303.87
768,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2012,404.04
769,AUTOMOBILE INDUSTRY,2012,1537.28
770,AIR TRANSPORT (INCLUDING AIR FREIGHT),2012,15.89
771,SEA TRANSPORT,2012,64.62
772,PORTS,2012,0.0
773,RAILWAY RELATED COMPONENTS,2012,29.85
774,INDUSTRIAL MACHINERY,2012,503.83
775,MACHINE TOOLS,2012,101.39
776,AGRICULTURAL MACHINERY,2012,95.41
777,EARTH-MOVING MACHINERY,2012,5.1
778,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2012,89.45
779,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2012,24.33
780,MEDICAL AND SURGICAL APPLIANCES,2012,83.02
781,INDUSTRIAL INSTRUMENTS,2012,0.58
782,SCIENTIFIC INSTRUMENTS,2012,73.28
783,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2012,6.71
784,FERTILIZERS,2012,42.55
785,CHEMICALS (OTHER THAN FERTILIZERS),2012,292.16
786,PHOTOGRAPHIC RAW FILM AND PAPER,2012,0.0
787,DYE-STUFFS,2012,0.0
788,DRUGS & PHARMACEUTICALS,2012,1123.46
789,"TEXTILES (INCLUDING DYED,PRINTED)",2012,103.89
790,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2012,5.09
791,SUGAR,2012,12.26
792,FERMENTATION INDUSTRIES,2012,107.21
793,FOOD PROCESSING INDUSTRIES,2012,401.46
794,VEGETABLE OILS AND VANASPATI,2012,108.39
795,"SOAPS, COSMETICS & TOILET PREPARATIONS",2012,160.07
796,RUBBER GOODS,2012,642.18
797,"LEATHER,LEATHER GOODS AND PICKERS",2012,46.7
798,GLUE AND GELATIN,2012,0.0
799,GLASS,2012,209.16
800,CERAMICS,2012,4.33
801,CEMENT AND GYPSUM PRODUCTS,2012,12.38
802,TIMBER PRODUCTS,2012,29.17
803,DEFENCE INDUSTRIES,2012,0.41
804,CONSULTANCY SERVICES,2012,142.32
805,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2012,4832.98
806,HOSPITAL & DIAGNOSTIC CENTRES,2012,256.86
807,EDUCATION,2012,172.2
808,HOTEL & TOURISM,2012,3259.05
809,TRADING,2012,717.8
810,RETAIL TRADING,2012,22.31
811,AGRICULTURE SERVICES,2012,161.47
812,"DIAMOND,GOLD ORNAMENTS",2012,52.61
813,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2012,0.27
814,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2012,14.34
815,COIR,2012,0.15
816,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2012,283.89
817,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2012,1332.49
818,MISCELLANEOUS INDUSTRIES,2012,229.49
819,METALLURGICAL INDUSTRIES,2013,567.63
820,MINING,2013,12.73
821,POWER,2013,1066.08
822,NON-CONVENTIONAL ENERGY,2013,414.25
823,COAL PRODUCTION,2013,2.96
824,PETROLEUM & NATURAL GAS,2013,112.23
825,BOILERS AND STEAM GENERATING PLANTS,2013,0.17
826,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2013,212.78
827,ELECTRICAL EQUIPMENTS,2013,134.31
828,COMPUTER SOFTWARE & HARDWARE,2013,1126.27
829,ELECTRONICS,2013,132.58
830,TELECOMMUNICATIONS,2013,1306.95
831,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2013,428.52
832,AUTOMOBILE INDUSTRY,2013,1517.28
833,AIR TRANSPORT (INCLUDING AIR FREIGHT),2013,45.95
834,SEA TRANSPORT,2013,20.49
835,PORTS,2013,0.31
836,RAILWAY RELATED COMPONENTS,2013,236.93
837,INDUSTRIAL MACHINERY,2013,477.38
838,MACHINE TOOLS,2013,64.52
839,AGRICULTURAL MACHINERY,2013,48.78
840,EARTH-MOVING MACHINERY,2013,34.44
841,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2013,288.13
842,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2013,21.13
843,MEDICAL AND SURGICAL APPLIANCES,2013,173.48
844,INDUSTRIAL INSTRUMENTS,2013,0.53
845,SCIENTIFIC INSTRUMENTS,2013,45.08
846,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2013,0.0
847,FERTILIZERS,2013,20.65
848,CHEMICALS (OTHER THAN FERTILIZERS),2013,786.76
849,PHOTOGRAPHIC RAW FILM AND PAPER,2013,0.0
850,DYE-STUFFS,2013,0.0
851,DRUGS & PHARMACEUTICALS,2013,1279.34
852,"TEXTILES (INCLUDING DYED,PRINTED)",2013,198.86
853,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2013,26.86
854,SUGAR,2013,3.08
855,FERMENTATION INDUSTRIES,2013,814.58
856,FOOD PROCESSING INDUSTRIES,2013,3982.89
857,VEGETABLE OILS AND VANASPATI,2013,21.55
858,"SOAPS, COSMETICS & TOILET PREPARATIONS",2013,108.44
859,RUBBER GOODS,2013,370.54
860,"LEATHER,LEATHER GOODS AND PICKERS",2013,6.14
861,GLUE AND GELATIN,2013,0.97
862,GLASS,2013,43.09
863,CERAMICS,2013,150.09
864,CEMENT AND GYPSUM PRODUCTS,2013,254.01
865,TIMBER PRODUCTS,2013,6.16
866,DEFENCE INDUSTRIES,2013,0.82
867,CONSULTANCY SERVICES,2013,285.85
868,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2013,2225.1
869,HOSPITAL & DIAGNOSTIC CENTRES,2013,684.58
870,EDUCATION,2013,262.09
871,HOTEL & TOURISM,2013,486.38
872,TRADING,2013,1343.39
873,RETAIL TRADING,2013,11.3
874,AGRICULTURE SERVICES,2013,91.01
875,"DIAMOND,GOLD ORNAMENTS",2013,42.56
876,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2013,5.86
877,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2013,113.78
878,COIR,2013,0.54
879,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2013,485.37
880,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2013,1226.05
881,MISCELLANEOUS INDUSTRIES,2013,468.74
882,METALLURGICAL INDUSTRIES,2014,359.34
883,MINING,2014,684.39
884,POWER,2014,707.04
885,NON-CONVENTIONAL ENERGY,2014,615.95
886,COAL PRODUCTION,2014,0.0
887,PETROLEUM & NATURAL GAS,2014,1079.02
888,BOILERS AND STEAM GENERATING PLANTS,2014,1.33
889,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2014,230.7
890,ELECTRICAL EQUIPMENTS,2014,574.83
891,COMPUTER SOFTWARE & HARDWARE,2014,2296.04
892,ELECTRONICS,2014,96.84
893,TELECOMMUNICATIONS,2014,2894.94
894,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2014,254.96
895,AUTOMOBILE INDUSTRY,2014,2725.64
896,AIR TRANSPORT (INCLUDING AIR FREIGHT),2014,74.56
897,SEA TRANSPORT,2014,333.22
898,PORTS,2014,1.9
899,RAILWAY RELATED COMPONENTS,2014,129.73
900,INDUSTRIAL MACHINERY,2014,716.79
901,MACHINE TOOLS,2014,24.06
902,AGRICULTURAL MACHINERY,2014,72.35
903,EARTH-MOVING MACHINERY,2014,30.11
904,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2014,186.69
905,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2014,33.39
906,MEDICAL AND SURGICAL APPLIANCES,2014,145.93
907,INDUSTRIAL INSTRUMENTS,2014,0.85
908,SCIENTIFIC INSTRUMENTS,2014,32.34
909,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2014,0.0
910,FERTILIZERS,2014,225.32
911,CHEMICALS (OTHER THAN FERTILIZERS),2014,762.76
912,PHOTOGRAPHIC RAW FILM AND PAPER,2014,0.75
913,DYE-STUFFS,2014,54.89
914,DRUGS & PHARMACEUTICALS,2014,1497.74
915,"TEXTILES (INCLUDING DYED,PRINTED)",2014,197.42
916,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2014,116.21
917,SUGAR,2014,27.77
918,FERMENTATION INDUSTRIES,2014,225.38
919,FOOD PROCESSING INDUSTRIES,2014,515.86
920,VEGETABLE OILS AND VANASPATI,2014,148.34
921,"SOAPS, COSMETICS & TOILET PREPARATIONS",2014,177.22
922,RUBBER GOODS,2014,284.51
923,"LEATHER,LEATHER GOODS AND PICKERS",2014,34.21
924,GLUE AND GELATIN,2014,21.44
925,GLASS,2014,41.82
926,CERAMICS,2014,35.29
927,CEMENT AND GYPSUM PRODUCTS,2014,208.99
928,TIMBER PRODUCTS,2014,8.97
929,DEFENCE INDUSTRIES,2014,0.08
930,CONSULTANCY SERVICES,2014,458.13
931,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2014,4443.26
932,HOSPITAL & DIAGNOSTIC CENTRES,2014,567.85
933,EDUCATION,2014,78.86
934,HOTEL & TOURISM,2014,777.01
935,TRADING,2014,2727.96
936,RETAIL TRADING,2014,168.72
937,AGRICULTURE SERVICES,2014,59.95
938,"DIAMOND,GOLD ORNAMENTS",2014,280.18
939,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2014,1.43
940,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2014,72.58
941,COIR,2014,1.36
942,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2014,870.25
943,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2014,769.14
944,MISCELLANEOUS INDUSTRIES,2014,765.88
945,METALLURGICAL INDUSTRIES,2015,456.31
946,MINING,2015,520.67
947,POWER,2015,868.8
948,NON-CONVENTIONAL ENERGY,2015,776.51
949,COAL PRODUCTION,2015,0.0
950,PETROLEUM & NATURAL GAS,2015,103.02
951,BOILERS AND STEAM GENERATING PLANTS,2015,77.91
952,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2015,159.13
953,ELECTRICAL EQUIPMENTS,2015,444.88
954,COMPUTER SOFTWARE & HARDWARE,2015,5904.36
955,ELECTRONICS,2015,208.39
956,TELECOMMUNICATIONS,2015,1324.4
957,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2015,1009.34
958,AUTOMOBILE INDUSTRY,2015,2526.82
959,AIR TRANSPORT (INCLUDING AIR FREIGHT),2015,361.25
960,SEA TRANSPORT,2015,429.3
961,PORTS,2015,0.0
962,RAILWAY RELATED COMPONENTS,2015,73.99
963,INDUSTRIAL MACHINERY,2015,568.26
964,MACHINE TOOLS,2015,126.38
965,AGRICULTURAL MACHINERY,2015,16.44
966,EARTH-MOVING MACHINERY,2015,97.66
967,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2015,274.57
968,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2015,36.68
969,MEDICAL AND SURGICAL APPLIANCES,2015,173.26
970,INDUSTRIAL INSTRUMENTS,2015,7.42
971,SCIENTIFIC INSTRUMENTS,2015,6.36
972,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2015,0.0
973,FERTILIZERS,2015,20.93
974,CHEMICALS (OTHER THAN FERTILIZERS),2015,1469.95
975,PHOTOGRAPHIC RAW FILM AND PAPER,2015,0.0
976,DYE-STUFFS,2015,3.32
977,DRUGS & PHARMACEUTICALS,2015,754.26
978,"TEXTILES (INCLUDING DYED,PRINTED)",2015,230.13
979,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2015,85.21
980,SUGAR,2015,105.85
981,FERMENTATION INDUSTRIES,2015,202.36
982,FOOD PROCESSING INDUSTRIES,2015,505.88
983,VEGETABLE OILS AND VANASPATI,2015,34.22
984,"SOAPS, COSMETICS & TOILET PREPARATIONS",2015,193.26
985,RUBBER GOODS,2015,296.15
986,"LEATHER,LEATHER GOODS AND PICKERS",2015,17.13
987,GLUE AND GELATIN,2015,0.82
988,GLASS,2015,25.78
989,CERAMICS,2015,51.21
990,CEMENT AND GYPSUM PRODUCTS,2015,19.69
991,TIMBER PRODUCTS,2015,53.17
992,DEFENCE INDUSTRIES,2015,0.1
993,CONSULTANCY SERVICES,2015,517.47
994,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2015,6889.46
